 EXPeriment = CERN-LEP-ALEPH                                                
 REACtion   = E+ E- --> K+ X
              E+ E- --> K- X
 sqrt(s)    = 91.2 GeV
 Author     = Buskulic et al 
 REFerence  = 1995 Zeit. Phys. C66, 355
 Author     = Barate et al
 REFerence  = 1996  CERN-PPE-96-186


 There is an additional systematic uncertainty 3% above and
 5% below X = 0.010.

     xp         xp       1/sig(h)*dsig/dxp         errors
     min        max                             stat.    sys.
     

1 42
0.0055     0.0060          12.40            1.12     0.01  
0.0060     0.0065          13.27            0.91     0.01  
0.0065     0.0070          15.33            0.90     0.01  
0.0070     0.0075          17.43            0.92     0.02  
0.0075     0.0080          18.33            0.88     0.02  
0.0080     0.0085          19.62            0.90     0.02  
0.0085     0.0090          20.02            0.86     0.05  
0.0090     0.0095          21.66            0.88     0.12  
0.013      0.014           25.84            0.66     0.50  
0.014      0.016           27.46            0.47     0.68  
0.016      0.018           27.63            0.53     2.20  
0.070      0.075           10.60            0.30     1.28  
0.075      0.080            9.53            0.26     0.98  
0.080      0.085            9.15            0.23     0.83  
0.085      0.090            8.41            0.21     0.71       
0.090      0.10             7.96            0.14     0.56    
0.10       0.11             7.26            0.13     0.47    
0.11       0.12             6.34            0.11     0.37    
0.12       0.13             5.63            0.11     0.32    
0.13       0.14             4.94            0.10     0.28    
0.14       0.15             4.39            0.09     0.24    
0.15       0.16             4.22            0.09     0.22    
0.16       0.18             3.63            0.06     0.18    
0.18       0.20             3.10            0.05     0.15    
0.20       0.25             2.245           0.029    0.109   
0.25       0.30             1.538           0.025    0.076   
0.30       0.40             0.841           0.013    0.043   
0.40       0.60             0.2936          0.0053   0.0146  
0.60       0.80             0.0596          0.0022   0.0031  
                           
