EXPeriment = CERN-LEP-ALEPH                                                
sqrt(s)    = 91.2 GeV
Author     = Buskulic et al 
REFerence  = 1995 Zeit. Phys. C66, 355
Author     = Barate et al
REFerence  = 1996 CERN-PPE-96-186

There is an additional 3% relative error.


    xp       xp          (1/sig(h))*          errors
    min      max          dsig/dxp         stat.    sys.

1 32
0.0050   0.0055         482.9          5.9      1.3        
0.0055   0.0060         462.6          4.8      0.9        
0.0060   0.0065         496.5          4.6      0.8        
0.0065   0.0070         511.2          4.4      0.8        
0.0070   0.0075         507.7          4.2      0.7        
0.0075   0.0080         538.5          4.4      0.7        
0.0080   0.0085         484.2          3.9      0.6        
0.0085   0.0090         499.7          3.9      0.7        
0.0090   0.0095         494.6          3.8      0.6        
0.0095   0.010          473.9          3.6      0.5        
0.010    0.011          460.9          2.5      0.5        
0.011    0.012          425.6          2.3      0.5        
0.012    0.013          420.7          2.3      0.4        
0.013    0.014          380.5          2.2      0.4        
0.014    0.016          360.8          1.5      0.6        
0.016    0.018          324.0          1.4      1.8        
0.045    0.050          103.96         0.61     2.09      
0.050    0.055           89.95         0.53     1.02      
0.055    0.060           78.96         0.50     0.90      
0.060    0.065           69.36         0.35     0.72     
0.065    0.070           61.35         0.33     0.60      
0.070    0.075           55.27         0.32     0.49      
0.075    0.080           49.91         0.30     0.44      
0.080    0.085           44.33         0.29     0.38      
0.085    0.090           40.24         0.27     0.34      
0.090    0.10            35.38         0.18     0.30      
0.10     0.11            29.51         0.17     0.25      
0.11     0.12            24.91         0.16     0.22      
0.12     0.13            21.06         0.14     0.18      
0.13     0.14            18.16         0.13     0.16      
0.14     0.15            15.46         0.12     0.15      
0.15     0.16            13.64         0.12     0.13      
0.16     0.18            11.00         0.07     0.11      
0.18     0.20             8.484        0.066    0.094    
0.20     0.25             5.621        0.035    0.071    
0.25     0.30             3.181        0.026    0.047    
0.30     0.40             1.563        0.013    0.028    
0.40     0.60             0.4495       0.0051   0.0100  
0.60     0.80             0.0767       0.0021   0.0021  

