  EXPeriment = CERN-LEP-ALEPH                                                
  REACtion   = E+ E- --> (P + PBAR) X
  sqrt(s)    = 91.2 GeV
  Author     = Buskulic et al 
  REFerence  = 1995 Zeit. Phys. C66, 355
  Author     = Barate et al
  REFerence  = 1996   CERN-PPE-96-186


  There is an additional systematic uncertainty 3% above
  and 5% below X = 0.018

  xp        xp      (1/sig(h))*dsig/dxp         errors
  min       max                            stat.      sys.


1 52
  0.010     0.011           8.32           0.35       0.00   
  0.011     0.012           8.95           0.36       0.00   
  0.012     0.013           9.80           0.36       0.01   
  0.013     0.014          10.30           0.38       0.01   
  0.014     0.016          10.70           0.26       0.01   
  0.016     0.018          11.58           0.27       0.04   
  0.024     0.026          12.37           0.18       0.23   
  0.026     0.028          12.46           0.18       0.44   
  0.070     0.075           5.315          0.216      0.876  
  0.075     0.080           5.008          0.183      0.639  
  0.080     0.085           4.445          0.162      0.549  
  0.085     0.090           4.555          0.154      0.474  
  0.090     0.10            3.742          0.092      0.355  
  0.10      0.11            3.355          0.084      0.292   
  0.11      0.12            2.905          0.077      0.232   
  0.12      0.13            2.653          0.072      0.205   
  0.13      0.14            2.371          0.068      0.178    
  0.14      0.15            2.137          0.064      0.162   
  0.15      0.16            1.878          0.061      0.146   
  0.16      0.18            1.696          0.041      0.118   
  0.18      0.20            1.299          0.036      0.099   
  0.20      0.25            0.966          0.020      0.073   
  0.25      0.30            0.614          0.017      0.054   
  0.30      0.40            0.305          0.009      0.031   
  0.40      0.60            0.0784         0.0034     0.0110  
  0.60      0.80            0.0054         0.0011     0.0022   



