*Published in PL B647,8 (2007)Preprinted as CERN-PH-EP/2006-029 (NOV 2006)


 X 	  MEAN(NAME=Q**2)
        (GEV**2)    A1    stat     sys

3 00
0.0033    0.78 	  0.003  0.009    0.004
0.0038    0.83 	 -0.004  0.007    0.003
0.0046    1.10 	  0.004  0.009    0.004
0.0055    1.22 	  0.003  0.007    0.003
0.0070 	  1.39 	 -0.002  0.005    0.002
0.0090 	  1.61 	 -0.010  0.006    0.003
0.0141    2.15 	  0.002  0.004    0.002 	 
0.0244    3.18 	  0.003  0.006    0.003 	 
0.0346 	  4.26 	  0.009  0.008    0.004 	 
0.0487    5.80 	  0.017  0.008    0.004 	 
0.0765    8.53 	  0.058  0.009    0.007 	 
0.121 	  12.6 	  0.095  0.013    0.011 	 
0.171  	  17.2 	  0.123  0.020    0.014 	 
0.222  	  21.8 	  0.183  0.028    0.021 	 
0.405  	  39.7 	  0.343  0.049    0.038 	 
0.290  	  28.3 	  0.216  0.030    0.024 	 
0.405  	  39.7 	  0.343  0.049    0.038 	 
0.566  	  55.3 	  0.626  0.112    0.075 	 
