* COMPASS 2009
* PLB 680 (2009) 217–224
*
* A1 
* xmin xmax xave   Q2ave A1d    stat  syst
3
0.004 0.006 0.0052 1.17  0.001  0.005 0.002
0.006 0.010 0.0079 1.48 -0.001 0.003 0.001
0.010 0.020 0.0141 2.15 -0.002 0.003 0.001
0.020 0.030 0.0244 3.23  0.010  0.005 0.002
0.030 0.040 0.0346 4.33  0.003  0.006 0.003
0.040 0.060 0.0487 5.87  0.016  0.006 0.003
0.060 0.100 0.0765 8.63  0.039  0.007 0.004
0.100 0.150 0.121  12.9  0.090  0.010 0.008
0.150 0.200 0.172  17.8  0.126  0.015 0.011
0.200 0.300 0.240  24.9  0.159  0.017 0.014


      
* A1dpi+
* xmin xmax xave   Q2ave A1h stat  syst
3 30
0.004 0.006 0.0052 1.16  0.006 0.014 0.006
0.006 0.010 0.0079 1.42 -0.003 0.008 0.003
0.010 0.020 0.0141 2.03 -0.003 0.007 0.003
0.020 0.030 0.0244 3.19 -0.001 0.011 0.004
0.030 0.040 0.0346 4.43  0.026 0.015 0.006
0.040 0.060 0.0487 6.10  0.016 0.015 0.006
0.060 0.100 0.0763 9.26  0.046 0.017 0.008
0.100 0.150 0.121  14.9  0.094 0.025 0.012
0.150 0.200 0.171  22.4  0.102 0.039 0.017
0.200 0.300 0.240  32.8  0.218 0.044 0.024



* A1dpi-
* xmin xmax xave   Q2ave A1h stat  syst
3 31
0.004 0.006 0.0052 1.16  0.009 0.014 0.006
0.006 0.010 0.0079 1.42 -0.002 0.008 0.003
0.010 0.020 0.0141 2.03 -0.007 0.007 0.003
0.020 0.030 0.0244 3.19  0.006 0.012 0.005
0.030 0.040 0.0346 4.43  0.004 0.016 0.006
0.040 0.060 0.0487 6.10  0.037 0.016 0.007
0.060 0.100 0.0763 9.26  0.018 0.018 0.007
0.100 0.150 0.121  14.9  0.087 0.028 0.013
0.150 0.200 0.171  22.4  0.132 0.044 0.020
0.200 0.300 0.240  32.8  0.147 0.051 0.023




* A1dK+
* xmin xmax xave   Q2ave A1h stat  syst
3 40
0.004 0.006 0.0052 1.16 -0.018 0.029 0.011
0.006 0.010 0.0079 1.42 -0.017 0.017 0.007
0.010 0.020 0.0141 2.03 -0.039 0.014 0.006
0.020 0.030 0.0244 3.19  0.020 0.022 0.009
0.030 0.040 0.0346 4.43  0.021 0.030 0.012
0.040 0.060 0.0487 6.10  0.066 0.029 0.011
0.060 0.100 0.0763 9.26  0.064 0.032 0.013
0.100 0.150 0.121  14.9  0.117 0.046 0.019
0.150 0.200 0.171  22.4  0.116 0.070 0.028
0.200 0.300 0.240  32.8  0.208 0.078 0.031

* A1dK-
* xmin xmax xave   Q2ave A1h stat  syst
3 41
0.004 0.006 0.0052 1.16 -0.084 0.030 0.014
0.006 0.010 0.0079 1.42  0.014 0.018 0.007
0.010 0.020 0.0141 2.03 -0.004 0.016 0.006
0.020 0.030 0.0244 3.19  0.025 0.026 0.010
0.030 0.040 0.0346 4.43  0.012 0.035 0.014
0.040 0.060 0.0487 6.10 -0.058 0.035 0.015
0.060 0.100 0.0763 9.26  0.015 0.041 0.017
0.100 0.150 0.121  14.9 -0.007 0.065 0.026
0.150 0.200 0.171  22.4  0.002 0.103 0.041
0.200 0.300 0.240  32.8 -0.018 0.118 0.047
