* COMAPSS A1p and g1p
* PLB 690 (2010) 466–472
*
* xmin xmax xave   Q2ave A1p  stat syst   g1p   stat  syst
1
0.004 0.005 0.0046 1.10 0.006 0.017 0.008 0.133 0.389 0.183
0.005 0.006 0.0055 1.20 0.019 0.013 0.006 0.385 0.256 0.123
0.006 0.008 0.0070 1.37 0.035 0.009 0.005 0.571 0.147 0.079
0.008 0.010 0.0090 1.59 0.033 0.010 0.005 0.445 0.130 0.067
0.010 0.020 0.0147 2.14 0.047 0.006 0.004 0.427 0.052 0.036
0.020 0.030 0.0247 3.24 0.076 0.009 0.006 0.459 0.053 0.037
0.030 0.040 0.0346 4.36 0.115 0.012 0.009 0.525 0.054 0.041
0.040 0.060 0.0487 6.05 0.130 0.012 0.010 0.438 0.039 0.032
0.060 0.100 0.0765 9.42 0.172 0.013 0.012 0.383 0.028 0.026
0.100 0.150 0.122  14.9 0.218 0.017 0.015 0.303 0.024 0.021
0.150 0.200 0.172  20.9 0.286 0.024 0.020 0.268 0.023 0.019
0.200 0.250 0.222  26.7 0.446 0.032 0.030 0.298 0.022 0.020
0.250 0.350 0.290  34.6 0.453 0.033 0.032 0.196 0.014 0.013
0.350 0.500 0.405  47.1 0.594 0.049 0.043 0.120 0.010 0.008
0.500 0.700 0.568  62.1 0.855 0.094 0.068 0.048 0.005 0.004
