EXPeriment = CERN-LEP-DELPHI                                              
   sqrt(s)    = 91.2 GeV
   Author     = Abreu et al 
   REFerence  = 1995 Nucl. Phys. B444, 3
   

     xp           1/sig(h) dsig/dxp        error


1 42
    0.021               23.9               1.27 
    0.028               22.8               1.23 
    0.034               19.1               1.13 
    0.041               16.7               1.36 
    0.050               14.5               1.18 
    0.061               12.1               1.35 
    0.072               10.0               1.82 
    0.083                8.8               2.16 
    0.241                1.833             0.456
    0.285                1.483             0.115 
    0.329                0.960             0.084 
    0.373                0.663             0.054 
    0.417                0.507             0.047 
    0.471                0.303             0.036 

