ABREU 98 EPJ C5,585 Differential cross section for K+- in Z0--&gt
;B-BBAR events E+ E- --&gt; (K+ + K-) X RE(Q=HAD) E+ E- --&gt
; HADRONS X SQRT(S) IN GEV 91.2 
x = P(P=3) IN GEV 
y = (1/N(C=HAD))*D(N)/DP 
x1 TO x2 y +- dstat +- dsys 

1 42
0.70 0.91 0.667 0.090 0.084 
0.91 1.14 0.612 0.064 0.083 
1.14 1.37 0.523 0.060 0.080 
1.37 1.60 0.585 0.051 0.050 
1.60 1.82 0.483 0.061 0.075 
1.82 2.28 0.494 0.025 0.076 
2.28 2.74 0.398 0.016 0.078 
2.74 3.19 0.335 0.018 0.020 
3.19 3.65 0.3225 0.0096 0.0203 
3.65 4.10 0.2845 0.0055 0.0211 
4.10 4.56 0.249 0.010 0.015 
4.56 5.47 0.2022 0.0061 0.0106 
5.47 6.38 0.1526 0.0070 0.0101 
6.38 7.29 0.109 0.011 0.010 
7.29 8.21 0.083 0.011 0.012 
8.21 9.12 0.0625 0.0050 0.0087 
9.12 11.9 0.0379 0.0013 0.0017 
11.9 13.7 0.0199 0.0011 0.0011 
13.7 18.2 0.00868 0.00068 0.00059 
18.2 22.8 0.00231 0.00041 0.00027 
22.8 27.4 0.00062 0.00023 0.00006 
27.4 36.5 0.000024 0.000062 0.000005 
36.5 45.6 0.0000007 0.0000036 0.0000009 
