ABREU 98 EPJ C5,585 Differential cross section for K+- in Z0--&gt
;Q-QBAR events E+ E- --&gt; (K+ + K-) X RE(Q=HAD) E+ E- --&gt; 
HADRONS X SQRT(S) IN GEV 91.2 
x = P(P=3) IN GEV 
y = (1/N(C=HAD))*D(N)/DP 
x1 TO x2 y +- dstat +- dsys 

1 42
0.70 0.91 0.558 0.031 0.077 
0.91 1.14 0.546 0.021 0.073 
1.14 1.37 0.466 0.018 0.066 
1.37 1.60 0.450 0.020 0.040 
1.60 1.82 0.400 0.022 0.056 
1.82 2.28 0.357 0.016 0.061 
2.28 2.74 0.292 0.015 0.063 
2.74 3.19 0.2455 0.0080 0.0154 
3.19 3.65 0.2157 0.0061 0.0154 
3.65 4.10 0.1953 0.0054 0.0120 
4.10 4.56 0.1754 0.0052 0.0121 
4.56 5.47 0.1443 0.0035 0.0097 
5.47 6.38 0.1123 0.0040 0.0060 
6.38 7.29 0.0906 0.0052 0.0083 
7.29 8.21 0.0720 0.0060 0.0090 
8.21 9.12 0.0624 0.0033 0.0086 
9.12 11.9 0.04344 0.00082 0.00204 
11.9 13.7 0.02917 0.00073 0.00155 
13.7 18.2 0.01699 0.00044 0.00115 
18.2 22.8 0.00791 0.00033 0.00079 
22.8 27.4 0.00364 0.00025 0.00036 
27.4 36.5 0.00130 0.00017 0.00027 
36.5 45.6 0.000147 0.000082 0.000108 
