ABREU 98 EPJ C5,585 Differential cross section for PI+- in Z0--&gt;
B-BBAR events E+ E- --&gt; (PI+ + PI-) X RE(Q=HAD) E+ E- --&gt; 
HADRONS X SQRT(S) IN GEV 91.2 
x = P(P=3) IN GEV 
y = (1/N(C=HAD))*D(N)/DP 
x1 TO x2 y +- dstat +- dsys 


1 32

0.70 0.91 7.781 0.096 0.246 
0.91 1.14 6.334 0.078 0.102 
1.14 1.37 5.205 0.072 0.098 
1.37 1.60 4.280 0.066 0.060 
1.60 1.82 3.595 0.063 0.056 
1.82 2.28 2.768 0.044 0.047 
2.28 2.74 2.140 0.039 0.047 
2.74 3.19 1.674 0.025 0.031 
3.19 3.65 1.312 0.020 0.027 
3.65 4.10 1.049 0.017 0.022 
4.10 4.56 0.853 0.015 0.019 
4.56 5.47 0.6166 0.0095 0.0138 
5.47 6.38 0.4124 0.0077 0.0101 
6.38 7.29 0.2861 0.0066 0.0079 
7.29 8.21 0.2010 0.0057 0.0058 
8.21 9.12 0.1457 0.0044 0.0051 
9.12 11.9 0.0810 0.0018 0.0029 
11.9 13.7 0.0409 0.0014 0.0018 
13.7 18.2 0.01858 0.00093 0.00088 
18.2 22.8 0.00629 0.00051 0.00042 
22.8 27.4 0.00252 0.00035 0.00028 
27.4 36.5 0.00081 0.00030 0.00018 
36.5 45.6 0.000016 0.000042 0.000013 
