ABREU 98 EPJ C5,585 Differential cross section for PI+- in Z0--&gt;
Q-QBAR events E+ E- --&gt; (PI+ + PI-) X RE(Q=HAD) E+ E- --&gt; 
HADRONS X SQRT(S) IN GEV 91.2 
x = P(P=3) IN GEV 
y = (1/N(C=HAD))*D(N)/DP 
x1 TO x2 y +- dstat +- dsys 

1 32
0.70 0.91 6.908 0.039 0.239 
0.91 1.14 5.495 0.032 0.101 
1.14 1.37 4.486 0.030 0.095 
1.37 1.60 3.688 0.027 0.055 
1.60 1.82 3.088 0.025 0.051 
1.82 2.28 2.426 0.018 0.046 
2.28 2.74 1.839 0.016 0.043 
2.74 3.19 1.443 0.010 0.027 
3.19 3.65 1.1517 0.0083 0.0257 
3.65 4.10 0.9364 0.0072 0.0216 
4.10 4.56 0.7714 0.0065 0.0183 
4.56 5.47 0.5961 0.0042 0.0157 
5.47 6.38 0.4306 0.0036 0.0124 
6.38 7.29 0.3211 0.0032 0.0101 
7.29 8.21 0.2464 0.0030 0.0082 
8.21 9.12 0.1877 0.0024 0.0070 
9.12 11.9 0.1194 0.0012 0.0045 
11.9 13.7 0.06922 0.00096 0.00277 
13.7 18.2 0.03661 0.00066 0.00154 
18.2 22.8 0.01490 0.00042 0.00071 
22.8 27.4 0.00673 0.00030 0.00037 
27.4 36.5 0.00214 0.00020 0.00024 
36.5 45.6 0.000298 0.000084 0.000056 
