ABREU 98 EPJ C5,585 
Differential cross section for P PBAR in Z0--&gt;
B-BBAR events E+ E- --&gt; (P + PBAR) X RE(Q=HAD) E+ E- --&gt; 
HADRONS X SQRT(S) IN GEV 91.2 
x = P(P=3) IN GEV 
y = (1/N(C=HAD))*D(N)/DP 
x1 TO x2 y +- dstat +- dsys 

1 52
0.70 0.91 0.303 0.051 0.066 
0.91 1.14 0.305 0.053 0.050 
1.14 1.37 0.331 0.049 0.068 
1.37 1.60 0.266 0.066 0.029 
1.60 1.82 0.257 0.049 0.028 
1.82 2.28 0.284 0.042 0.030 
2.28 2.74 0.176 0.026 0.025 
2.74 3.19 0.117 0.016 0.014 
3.19 3.65 0.093 0.016 0.011 
3.65 4.10 0.092 0.015 0.011 
4.10 4.56 0.072 0.016 0.011 
4.56 5.47 0.079 0.010 0.008 
5.47 6.38 0.075 0.012 0.010 
6.38 7.29 0.060 0.019 0.007 
7.29 8.21 0.044 0.022 0.009 
8.21 9.12 0.034 0.011 0.005 
9.12 11.9 0.0173 0.0029 0.0021 
11.9 13.7 0.0089 0.0018 0.0009 
13.7 18.2 0.00371 0.00071 0.00037 
18.2 22.8 0.00102 0.00033 0.00017 
22.8 27.4 0.00027 0.00019 0.00007 
27.4 36.5 0.000083 0.000074 0.000077 
36.5 45.6 0.0000045 0.0000060 0.0000173 
