ABREU 98 EPJ C5,585 Differential cross section for P PBAR in Z0--&gt
;Q-QBAR events E+ E- --&gt; (P + PBAR) X RE(Q=HAD) E+ E- --&gt
; HADRONS X SQRT(S) IN GEV 91.2 
x = P(P=3) IN GEV 
y = (1/N(C=HAD))*D(N)/DP 
x1 TO x2 y +- dstat +- dsys 

1 52
0.70 0.91 0.320 0.016 0.072 
0.91 1.14 0.308 0.018 0.053 
1.14 1.37 0.249 0.022 0.043 
1.37 1.60 0.263 0.021 0.030 
1.60 1.82 0.249 0.015 0.027 
1.82 2.28 0.232 0.012 0.021 
2.28 2.74 0.1566 0.0062 0.0175 
2.74 3.19 0.1198 0.0034 0.0123 
3.19 3.65 0.1028 0.0036 0.0097 
3.65 4.10 0.0934 0.0036 0.0108 
4.10 4.56 0.0758 0.0035 0.0097 
4.56 5.47 0.0695 0.0027 0.0066 
5.47 6.38 0.0579 0.0036 0.0069 
6.38 7.29 0.0457 0.0054 0.0062 
7.29 8.21 0.0382 0.0065 0.0063 
8.21 9.12 0.0299 0.0038 0.0046 
9.12 11.9 0.0193 0.0010 0.0021 
11.9 13.7 0.01246 0.00076 0.00140 
13.7 18.2 0.00616 0.00036 0.00065 
18.2 22.8 0.00260 0.00021 0.00044 
22.8 27.4 0.00106 0.00015 0.00023 
27.4 36.5 0.000269 0.000084 0.000107 
36.5 45.6 0.000046 0.000059 0.000028 
