    EXPeriment   = CERN-LEP-DELPHI
    REACtion     = E+ E- --> CHARGED X
    sqrt(s)      = 91.2 GeV
    AUTHOR       = Abreu et al
    REFerence    = 1996   CERN-PPE-96-120
   
    Scaled momentum distribution, XP

     xp         xp        (1/N(h))*dN/dxp             errors
     min        max                               stat.     sys.


1 22
    0.000      0.010          389.18              0.37     28.68
    0.010      0.020          407.47              0.32     10.44
    0.020      0.030          266.10              0.26      3.67
    0.030      0.040          185.45              0.22      1.85
    0.040      0.050          137.73              0.19      1.38
    0.050      0.060          106.07              0.16      1.08
    0.060      0.070           84.57              0.15      0.95
    0.070      0.080           68.87              0.13      0.85
    0.080      0.090           57.09              0.12      0.78
    0.090      0.100           47.79              0.11      0.71
    0.100      0.120           37.756             0.071     0.619
    0.120      0.140           28.006             0.061     0.501
    0.140      0.160           21.330             0.054     0.409
    0.160      0.180           16.660             0.048     0.337
    0.180      0.200           13.043             0.042     0.273
    0.200      0.250            9.019             0.022     0.195
    0.250      0.300            5.464             0.018     0.124
    0.300      0.400            2.8036            0.0088    0.0683
    0.400      0.500            1.1938            0.0057    0.0327
    0.500      0.600            0.5322            0.0040    0.0169
    0.600      0.700            0.2287            0.0027    0.0084
    0.700      0.800            0.0936            0.0016    0.0039
    0.800      1.000            0.0201            0.0005    0.0023
    



  ln(1/xp) distribution

  ln(1/xp)   ln(1/xp)     (1/N(h))*dN/dln(1/xp)        errors
    min        max                                stat.      sys
    
    0.000      0.200            0.0151            0.0004    0.0022
    0.200      0.400            0.0774            0.0011    0.0051
    0.400      0.600            0.1987            0.0018    0.0083
    0.600      0.800            0.3970            0.0023    0.0116
    0.800      1.000            0.6805            0.0031    0.0161
    1.000      1.200            1.0520            0.0038    0.0226
    1.200      1.400            1.5128            0.0046    0.0311
    1.400      1.600            2.0270            0.0053    0.0398
    1.600      1.800            2.5997            0.0060    0.0481
    1.800      2.000            3.1993            0.0066    0.0553
    2.000      2.200            3.8069            0.0071    0.0610
    2.200      2.400            4.3851            0.0076    0.0651
    2.400      2.600            4.9235            0.0080    0.0680
    2.600      2.800            5.4160            0.0083    0.0702
    2.800      3.000            5.8079            0.0086    0.0716
    3.000      3.200            6.1608            0.0088    0.0734
    3.200      3.400            6.4026            0.0090    0.0753
    3.400      3.600            6.5371            0.0091    0.0779
    3.600      3.800            6.5822            0.0091    0.0819
    3.800      4.000            6.4738            0.0090    0.0869
    4.000      4.200            6.2383            0.0089    0.0933
    4.200      4.400            5.8490            0.0087    0.1003
    4.400      4.600            5.3231            0.0084    0.1068
    4.600      4.800            4.6603            0.0079    0.1098
    4.800      5.000            3.9029            0.0073    0.1064
    5.000      5.200            3.1150            0.0066    0.0952
    5.200      5.400            2.3781            0.0058    0.0777
                                      

