*E155 Phys.Lett.B493(2000)19
    
*-----------------------------------------------------------------------------
* Targets:
* 1 - proton
* 2 - neutron
* 3 - deuterium
* 4 - helium3
*
* Asymmetry types:
* 10 - DIS e
* 20 - h+ * 21 - h- * 22 - (h+ - h-) * 30 - pi+ * 31 - pi- * 32 - (pi+
- pi-) * 40 - K+ * 41 - K- * 42 - (K+ - K-) * 43 - K0s
* 50 - p * 51 - p_bar * 52 - (p - p_bar) * 60 - non-pion+ * 61 -
non-pion- * 62 - (non-pion+ - non-pion-)
*
*-----------------------------------------------------------------------------
*

*---- proton target ----      
x      Q^2     g1p/F1p   Error       
mean    GeV^2          stat   syst
1 00   
0.015   1.22    0.048  0.009  0.004   
0.025   1.59    0.057  0.008  0.006   
0.035   2.05    0.070  0.008  0.007   
0.050   2.58    0.111  0.009  0.009   
0.050   4.01    0.222  0.088  0.009   
0.080   3.24    0.155  0.009  0.013   
0.080   5.36    0.150  0.011  0.013   
0.125   4.03    0.186  0.012  0.018   
0.125   7.17    0.209  0.007  0.018   
0.125  10.99    0.307  0.051  0.018   
0.175   4.62    0.273  0.023  0.023   
0.175   8.90    0.247  0.012  0.023 


----neutron target----
          
x      Q^2    g1n/F1n   Errors
mean    GeV^2          stat   syst
2 00
0.015   1.22  -0.125  0.037  0.006
0.025   1.59  -0.038  0.034  0.007
0.035   2.05  -0.040  0.034  0.008
0.050   2.58  -0.054  0.036  0.011
0.050   4.01  -0.852  0.400  0.012
0.080   3.24  -0.039  0.038  0.016
0.080   5.36  -0.157  0.048  0.017
0.125   4.03  -0.034  0.052  0.024
0.125   7.17  -0.066  0.034  0.025
0.125  10.99  -0.425  0.238  0.028
0.175   4.62  -0.088  0.106  0.035
0.175   8.90  -0.077  0.056  0.036
0.175  13.19  -0.010  0.109  0.039
0.250   5.06  -0.007  0.114  0.053
0.250  10.64  -0.027  0.056  0.055
0.250  17.21  -0.069  0.075  0.057
0.350   5.51   0.164  0.288  0.079
0.350  12.60   0.055  0.161  0.086
0.500   5.77   0.155  0.417  0.117
0.500  14.02   0.017  0.187  0.123
0.500  26.86   0.057  0.309  0.125
0.750  15.70   0.616  0.775  0.144
0.750  34.72   0.254  3.141  0.138



*----------DEUTERON TARGET-------------
*  Phys.Lett.B463(1999)339



 x     Q^2   g1d/F1d    Errors    
 mean  GeV^2           stat    sys

*            Data from the 2.75 degree spectrometer  
3 00
0.015  1.22  -0.033   0.016   0.001
0.025  1.59   0.011   0.014   0.001
0.035  2.05   0.016   0.014   0.001
0.050  2.57   0.030   0.015   0.002
0.080  3.24   0.059   0.016   0.003
0.125  4.03   0.079   0.021   0.005
0.175  4.62   0.107   0.041   0.008
0.250  5.06   0.192   0.042   0.012
0.350  5.51   0.301   0.098   0.017
0.500  5.77   0.389   0.129   0.024
0.050  4.00  -0.266   0.170   0.002
0.080  5.37   0.006   0.020   0.003
0.125  7.16   0.079   0.014   0.005
0.175  8.90   0.099   0.022   0.008
0.250 10.62   0.184   0.020   0.012
0.350 12.59   0.305   0.044   0.017
0.500 14.01   0.349   0.057   0.025
0.750 15.73   0.576   0.220   0.029
0.125  10.98  -0.020   0.095   0.006
0.175  13.19   0.157   0.042   0.008
0.250  17.22   0.194   0.027   0.012
0.350  22.65   0.309   0.053   0.017
0.500  26.97   0.330   0.092   0.024
0.750  34.79   0.428   0.903   0.028
