# pos pions vs zq2
# Format:
# Bin  mult          sigma_stat    <z>      <Q2>     <xBj>    
30
    0  0.3588345051  0.0014226113  0.29640  1.23408  0.049118
    1  0.3663519704  0.0018035493  0.29660  1.73295  0.070171
    2  0.3894072339  0.0017908764  0.29673  2.44085  0.097298
    3  0.4246422374  0.0021916194  0.29612  3.80011  0.147765
    4  0.4500834663  0.0034671669  0.29607  6.56240  0.248959
    5  0.2221542835  0.0011011797  0.39577  1.23616  0.054020
    6  0.2309832772  0.0014061732  0.39593  1.73177  0.076174
    7  0.2436815208  0.0013944881  0.39599  2.43590  0.103377
    8  0.2586934284  0.0016824764  0.39566  3.80268  0.151923
    9  0.2671142401  0.0026188597  0.39525  6.63364  0.252351
   10  0.1259635811  0.0006696460  0.51719  1.23462  0.056018
   11  0.1281185622  0.0008460535  0.51702  1.73121  0.078625
   12  0.1328033080  0.0008327236  0.51660  2.43166  0.105813
   13  0.1416174370  0.0010077004  0.51603  3.79993  0.153242
   14  0.1473149084  0.0015770477  0.51601  6.63100  0.253592
   15  0.0704628296  0.0005078717  0.66749  1.23565  0.058695
   16  0.0705599336  0.0006379003  0.66783  1.73181  0.081795
   17  0.0699294925  0.0006178589  0.66725  2.43231  0.108293
   18  0.0717706440  0.0007409264  0.66768  3.78182  0.156144
   19  0.0769336557  0.0011726327  0.66767  6.62482  0.255442

# neg pions vs zq2
# Format:
# Bin  mult          sigma_stat    <z>      <Q2>     <xBj>    
31
    0  0.2757330183  0.0012398649  0.29596  1.23166  0.048345
    1  0.2722374952  0.0015467588  0.29611  1.73210  0.069028
    2  0.2839788265  0.0015219354  0.29617  2.43546  0.095702
    3  0.2930383884  0.0018143052  0.29565  3.79660  0.145680
    4  0.2891285512  0.0027731940  0.29471  6.54862  0.246526
    5  0.1648305396  0.0009440466  0.39558  1.23283  0.053125
    6  0.1628150206  0.0011775347  0.39543  1.73369  0.075533
    7  0.1624138085  0.0011359605  0.39567  2.43480  0.101945
    8  0.1636549504  0.0013364067  0.39553  3.78492  0.150534
    9  0.1615867429  0.0020401568  0.39502  6.56092  0.250145
   10  0.0901782905  0.0005652774  0.51687  1.23293  0.055519
   11  0.0874488062  0.0006983600  0.51627  1.72892  0.078127
   12  0.0853478796  0.0006677671  0.51557  2.42934  0.105050
   13  0.0840060396  0.0007773025  0.51501  3.78202  0.153299
   14  0.0776796799  0.0011473071  0.51415  6.56704  0.251168
   15  0.0483051338  0.0004180339  0.66714  1.23266  0.057718
   16  0.0455332460  0.0005087395  0.66630  1.72974  0.081152
   17  0.0427616253  0.0004796129  0.66679  2.42712  0.107679
   18  0.0391353680  0.0005398804  0.66536  3.78368  0.156162
   19  0.0365313866  0.0007998160  0.66525  6.57065  0.254723

# pos kaons vs zq2
# Format:
# Bin  mult          sigma_stat    <z>      <Q2>     <xBj>    
40
    0  0.0608746464  0.0007725939  0.29792  1.23785  0.050623
    1  0.0649889323  0.0010005859  0.29802  1.73263  0.071423
    2  0.0717982101  0.0010017847  0.29867  2.45187  0.099304
    3  0.0786254467  0.0012232908  0.29798  3.81640  0.150413
    4  0.0848936109  0.0019364829  0.29800  6.56941  0.247705
    5  0.0442220587  0.0005946049  0.39787  1.23827  0.055133
    6  0.0482780506  0.0007765868  0.39787  1.73058  0.077831
    7  0.0532793726  0.0007731640  0.39694  2.43692  0.103477
    8  0.0591982091  0.0009397426  0.39612  3.81695  0.151075
    9  0.0636037577  0.0014614093  0.39713  6.62600  0.248929
   10  0.0290416602  0.0003933413  0.51782  1.23890  0.054343
   11  0.0313150018  0.0005061538  0.51824  1.73380  0.075934
   12  0.0347065001  0.0005150873  0.51776  2.43867  0.102986
   13  0.0394744013  0.0006443125  0.52048  3.80062  0.149899
   14  0.0433554674  0.0010274243  0.51870  6.65769  0.249888
   15  0.0154072797  0.0002997073  0.66709  1.23578  0.057033
   16  0.0168611574  0.0003890397  0.66522  1.73304  0.079448
   17  0.0192494145  0.0004094709  0.66635  2.44535  0.106619
   18  0.0223317505  0.0005248141  0.66604  3.81203  0.152462
   19  0.0254597185  0.0008779259  0.66655  6.68933  0.251512

# neg kaons vs zq2
# Format:
# Bin  mult          sigma_stat    <z>      <Q2>     <xBj>    
41
    0  0.0292700571  0.0005353414  0.29713  1.23285  0.048136
    1  0.0301772392  0.0006791992  0.29598  1.73383  0.067303
    2  0.0303039881  0.0006568735  0.29592  2.44507  0.095142
    3  0.0324264272  0.0007817282  0.29545  3.80181  0.144554
    4  0.0314463911  0.0011530912  0.29654  6.55320  0.242708
    5  0.0180574722  0.0003801691  0.39608  1.23251  0.052119
    6  0.0196694411  0.0004921604  0.39663  1.72636  0.073339
    7  0.0185747763  0.0004581080  0.39553  2.43213  0.098969
    8  0.0197875142  0.0005422106  0.39518  3.77860  0.146798
    9  0.0175765532  0.0007798002  0.39756  6.58309  0.246323
   10  0.0101790375  0.0002352310  0.51547  1.23258  0.052638
   11  0.0102430881  0.0002940785  0.51283  1.72418  0.074093
   12  0.0102644557  0.0002846977  0.51530  2.42466  0.100012
   13  0.0090623236  0.0003211398  0.51518  3.79848  0.147267
   14  0.0090967015  0.0004714354  0.51376  6.63577  0.248991
   15  0.0027960325  0.0001519868  0.65674  1.23807  0.056380
   16  0.0031059101  0.0001917196  0.65534  1.71624  0.077775
   17  0.0031248889  0.0001931941  0.65594  2.43071  0.105801
   18  0.0030854588  0.0002275973  0.64912  3.74199  0.149175
   19  0.0023153289  0.0003044472  0.64772  6.12422  0.246793

# pos protons vs zq2
# Format:
# Bin  mult          sigma_stat    <z>      <Q2>     <xBj>    
50
    0  0.0608076191  0.0008535814  0.29990  1.23352  0.052390
    1  0.0667490325  0.0011173877  0.30010  1.72999  0.075872
    2  0.0749582471  0.0011236292  0.30074  2.45314  0.107247
    3  0.0893567795  0.0014106688  0.29956  3.82574  0.167796
    4  0.1106253507  0.0023888784  0.29652  6.85101  0.291386
    5  0.0494548832  0.0006624354  0.39652  1.23989  0.059900
    6  0.0560134469  0.0008798270  0.39717  1.73445  0.085487
    7  0.0589944991  0.0008555815  0.39735  2.44744  0.116146
    8  0.0665934634  0.0010483371  0.39615  3.80414  0.169826
    9  0.0727659635  0.0016110883  0.39676  6.64144  0.271264
   10  0.0268307074  0.0003902525  0.51421  1.24045  0.063192
   11  0.0286254828  0.0004998651  0.51385  1.73318  0.087163
   12  0.0314694760  0.0005027369  0.51404  2.44034  0.115063
   13  0.0357443173  0.0006223446  0.51305  3.80611  0.164117
   14  0.0394011806  0.0009905825  0.51644  6.68409  0.265440
   15  0.0091476232  0.0002311940  0.66061  1.24669  0.066868
   16  0.0107620597  0.0003067215  0.66048  1.73150  0.091838
   17  0.0114073337  0.0003154694  0.65857  2.44089  0.120594
   18  0.0120271364  0.0003945855  0.66075  3.81951  0.170586
   19  0.0140510985  0.0006873373  0.65972  6.72948  0.272282

# neg protons vs zq2
# Format:
# Bin  mult          sigma_stat    <z>      <Q2>     <xBj>    
51
    0  0.0090845397  0.0004647609  0.29819  1.23410  0.043453
    1  0.0092744096  0.0005899629  0.30027  1.72557  0.063142
    2  0.0105018253  0.0005816602  0.29824  2.42864  0.083780
    3  0.0119852838  0.0006916563  0.29649  3.84722  0.132145
    4  0.0114729744  0.0010062510  0.29358  6.60609  0.239741
    5  0.0058577152  0.0002960821  0.39623  1.22843  0.042555
    6  0.0055932066  0.0003715390  0.39529  1.72804  0.063202
    7  0.0063389913  0.0003545969  0.39417  2.44585  0.091377
    8  0.0069018733  0.0004032884  0.39369  3.78791  0.137636
    9  0.0076483404  0.0005945565  0.39271  6.60310  0.234229
   10  0.0022223883  0.0001544811  0.50452  1.23757  0.044985
   11  0.0021198014  0.0001925025  0.50824  1.75811  0.067081
   12  0.0024399999  0.0001876752  0.50773  2.45533  0.096021
   13  0.0028132393  0.0002250866  0.50184  3.71674  0.143438
   14  0.0026828614  0.0003141916  0.50637  6.25979  0.223213
   15  0.0006314758  0.0000814512  0.64675  1.23357  0.052283
   16  0.0005418470  0.0000973469  0.65616  1.73824  0.072322
   17  0.0005859010  0.0001010875  0.64747  2.43795  0.103868
   18  0.0003639278  0.0001208375  0.66637  3.90895  0.175986
   19  0.0008458099  0.0001931815  0.65735  7.22775  0.266778
