pi+ 		Target: Proton Q2 = 	2.5 GeV2
		(excl. VM subtracted)
zmin	zmax	mult	 	stat 	RICH 		  MC 	 	evol 	
1 30
0.150 	0.200	3.02701 	0.01222 +0.07326 -0.00000 0.00993 	+0.00132 -0.00012 	 	 
0.200 	0.250	2.13312 	0.00892 +0.04080 -0.00520 0.00807 	+0.00009 -0.00002 	 	 
0.250 	0.300	1.56293 	0.00736 +0.02097 -0.00494 0.00707 	+0.00004 -0.00011 	 	 
0.300 	0.350	1.16725 	0.00646 +0.00988 -0.00416 0.00636 	+0.00002 -0.00001 	 	 
0.350 	0.400	0.87276 	0.00584 +0.00450 -0.00300 0.00576 	+0.00000 -0.00000 	 	 
0.400 	0.450	0.65989 	0.00541 +0.00146 -0.00240 0.00521 	+0.00002 -0.00003 	 	 
0.450 	0.500	0.50582 	0.00513 +0.00000 -0.00160 0.00487 	+0.00002 -0.00007 	 	 
0.500 	0.550	0.38966 	0.00503 +0.00001 -0.00128 0.00461 	+0.00002 -0.00006 	 	 
0.550 	0.600	0.32043 	0.00508 +0.00023 -0.00091 0.00454 	+0.00003 -0.00012 	 	 
0.600 	0.650	0.23887 	0.00524 +0.00131 -0.00124 0.00450 	+0.00002 -0.00011 	 	 
0.650 	0.700	0.21892 	0.00571 +0.00270 -0.00200 0.00471 	+0.00001 -0.00014 	 	 
0.700 	0.750	0.16280 	0.00619 +0.00241 -0.00188 0.00476 	+0.00001 -0.00014 	 	 
0.750 	0.800	0.12421 	0.00674 +0.00263 -0.00171 0.00485 	+0.00000 -0.00014 	 	 
0.800 	0.850	0.07995 	0.00676 +0.00056 -0.00057 0.00465 	+0.00000 -0.00009 	 	 
0.850 	0.900	0.06576 	0.00480 +0.00282 -0.00203 0.00326 	+0.00000 -0.00006 	

pi+ 		Target: Deuterium Q2 = 	2.5 GeV2
3 30
0.150 	0.200 	 2.94858 	0.01113 +0.07228 -0.00000 0.00970 	+0.00597 -0.00037
0.200 	0.250 	 2.07807 	0.00815 +0.03954 -0.00518 0.00792 	+0.00268 -0.00032
0.250 	0.300 	 1.49781 	0.00671 +0.01972 -0.00486 0.00685 	+0.00127 -0.00029
0.300 	0.350 	 1.11943 	0.00587 +0.00956 -0.00408 0.00618 	+0.00058 -0.00026
0.350 	0.400 	 0.82861 	0.00524 +0.00434 -0.00293 0.00552 	+0.00030 -0.00025
0.400 	0.450 	 0.62918 	0.00496 +0.00121 -0.00241 0.00508 	+0.00017 -0.00027
0.450 	0.500 	 0.48236 	0.00471 +0.00004 -0.00149 0.00474 	+0.00012 -0.00026
0.500 	0.550 	 0.37607 	0.00462 +0.00000 -0.00115 0.00449 	+0.00008 -0.00024
0.550 	0.600 	 0.29300 	0.00465 +0.00019 -0.00093 0.00436 	+0.00008 -0.00024
0.600 	0.650 	 0.24857 	0.00487 +0.00171 -0.00143 0.00442 	+0.00006 -0.00025
0.650 	0.700 	 0.19071 	0.00522 +0.00244 -0.00171 0.00445 	+0.00003 -0.00024
0.700 	0.750 	 0.15151 	0.00580 +0.00201 -0.00171 0.00460 	+0.00001 -0.00022
0.750 	0.800 	 0.10953 	0.00615 +0.00224 -0.00157 0.00458 	+0.00000 -0.00019
0.800 	0.850 	 0.06699 	0.00575 +0.00093 -0.00062 0.00409 	+0.00000 -0.00012
0.850 	0.900 	 0.06443 	0.00407 +0.00248 -0.00184 0.00286 	+0.00000 -0.00013


pi- 		Target: Proton Q2 = 	2.5 GeV2 		 
1 31
0.150 	0.200  	2.42483 	0.01080 +0.05701 -0.00284 0.00869 	+0.00371 -0.00000
0.200 	0.250  	1.69087 	0.00785 +0.03191 -0.00572 0.00705 	+0.00185 -0.00000
0.250 	0.300  	1.16385 	0.00628 +0.01581 -0.00458 0.00591 	+0.00097 -0.00000
0.300 	0.350  	0.84561 	0.00540 +0.00800 -0.00314 0.00518 	+0.00059 -0.00000
0.350 	0.400  	0.60182 	0.00481 +0.00377 -0.00206 0.00459 	+0.00039 -0.00000
0.400 	0.450  	0.44347 	0.00439 +0.00117 -0.00145 0.00414 	+0.00032 -0.00000
0.450 	0.500  	0.33370 	0.00418 +0.00029 -0.00082 0.00388 	+0.00033 -0.00000
0.500 	0.550  	0.25635 	0.00405 +0.00018 -0.00080 0.00368 	+0.00029 -0.00000
0.550 	0.600  	0.19677 	0.00397 +0.00073 -0.00061 0.00352 	+0.00033 -0.00000
0.600 	0.650  	0.15299 	0.00407 +0.00182 -0.00131 0.00348 	+0.00033 -0.00000
0.650 	0.700  	0.11365 	0.00422 +0.00204 -0.00151 0.00340 	+0.00028 -0.00000
0.700 	0.750  	0.08634 	0.00448 +0.00211 -0.00154 0.00334 	+0.00029 -0.00001
0.750 	0.800  	0.06420 	0.00522 +0.00184 -0.00125 0.00355 	+0.00024 -0.00002
0.800 	0.850  	0.04625 	0.00516 +0.00117 -0.00086 0.00324 	+0.00016 -0.00003
0.850 	0.900  	0.02808 	0.00387 +0.00183 -0.00131 0.00226 	+0.00011 -0.00002

pi- 		Target: Deuterium Q2 = 	2.5 GeV2      
3 31
0.150 	0.200 	2.66967 	0.01061 +0.06215 -0.00339 0.00936 	+0.00926 -0.00000 	 
0.200 	0.250   1.82696 	0.00756 +0.03441 -0.00644 0.00744 	+0.00421 -0.00000 	 
0.250 	0.300	1.26842 	0.00609 +0.01718 -0.00491 0.00628 	+0.00201 -0.00000 	 
0.300 	0.350	0.92162 	0.00527 +0.00860 -0.00344 0.00554 	+0.00099 -0.00000 	 
0.350 	0.400	0.66081 	0.00469 +0.00391 -0.00223 0.00491 	+0.00057 -0.00000 	 
0.400 	0.450	0.48943 	0.00425 +0.00138 -0.00156 0.00441 	+0.00035 -0.00000 	 
0.450 	0.500	0.37761 	0.00398 +0.00034 -0.00094 0.00408 	+0.00032 -0.00000 	 
0.500 	0.550	0.28032 	0.00387 +0.00011 -0.00072 0.00387 	+0.00027 -0.00000 	 
0.550 	0.600	0.21618 	0.00392 +0.00061 -0.00075 0.00383 	+0.00026 -0.00000 	 
0.600 	0.650	0.17805 	0.00413 +0.00242 -0.00157 0.00392 	+0.00024 -0.00000 	 
0.650 	0.700	0.13292 	0.00430 +0.00246 -0.00179 0.00384 	+0.00019 -0.00000 	 
0.700 	0.750	0.10240 	0.00452 +0.00233 -0.00169 0.00373 	+0.00019 -0.00001 	 
0.750 	0.800	0.07601 	0.00473 +0.00229 -0.00158 0.00356 	+0.00016 -0.00003 	 
0.800 	0.850	0.05178 	0.00503 +0.00121 -0.00083 0.00340 	+0.00012 -0.00003 	 
0.850 	0.900	0.03510 	0.00362 +0.00206 -0.00146 0.00230 	+0.00007 -0.00003 	 

K+ 		Target: Proton Q2 = 	2.5 GeV2 		 
1 40
0.150 	0.200	0.63996 	0.00878 +0.00000 -0.06513 0.00542 	+0.00077 -0.00004 
0.200 	0.250	0.37845 	0.00539 +0.00287 -0.03856 0.00358 	+0.00006 -0.00000 
0.250 	0.300	0.28213 	0.00415 +0.00461 -0.02212 0.00305 	+0.00002 -0.00011 
0.300 	0.350	0.23129 	0.00344 +0.00362 -0.01296 0.00279 	+0.00002 -0.00007 
0.350 	0.400	0.18174 	0.00309 +0.00273 -0.00754 0.00258 	+0.00001 -0.00003 
0.400 	0.450	0.15028 	0.00291 +0.00206 -0.00369 0.00243 	+0.00001 -0.00001 
0.450 	0.500	0.12858 	0.00297 +0.00000 -0.00110 0.00236 	+0.00001 -0.00000 
0.500 	0.550	0.09944 	0.00294 +0.00000 -0.00136 0.00222 	+0.00001 -0.00000 
0.550 	0.600	0.08919 	0.00322 +0.00000 -0.00117 0.00237 	+0.00000 -0.00000 
0.600 	0.650	0.08285 	0.00352 +0.00000 -0.00156 0.00249 	+0.00000 -0.00000 
0.650 	0.700	0.05826 	0.00357 +0.00058 -0.00269 0.00236 	+0.00000 -0.00002 
0.700 	0.750	0.05183 	0.00349 +0.00035 -0.00256 0.00227 	+0.00000 -0.00000 
0.750 	0.800	0.03238 	0.00335 +0.00087 -0.00283 0.00214 	+0.00000 -0.00000 
0.800 	0.850	0.02857 	0.00313 +0.00000 -0.00069 0.00207 	+0.00000 -0.00000 
0.850 	0.900	0.02023 	0.00199 +0.00161 -0.00372 0.00136 	+0.00002 -0.00001 

K+ 		Target: Deuterium Q2 = 	2.5 GeV2 
3 40
0.150 	0.200	0.62493 	0.00805 +0.00000 -0.06219 0.00529 	+0.00209 -0.00005 	 
0.200 	0.250	0.37328 	0.00495 +0.00267 -0.03691 0.00353 	+0.00061 -0.00002 	 
0.250 	0.300	0.27489 	0.00374 +0.00436 -0.02061 0.00294 	+0.00024 -0.00002 	 
0.300 	0.350	0.21921 	0.00316 +0.00357 -0.01249 0.00270 	+0.00012 -0.00001 	 
0.350 	0.400	0.17764 	0.00284 +0.00292 -0.00715 0.00249 	+0.00005 -0.00001 	 
0.400 	0.450	0.14032 	0.00266 +0.00211 -0.00328 0.00229 	+0.00002 -0.00001 	 
0.450 	0.500	0.11330 	0.00268 +0.00010 -0.00196 0.00221 	+0.00000 -0.00002 	 
0.500 	0.550	0.10510 	0.00277 +0.00000 -0.00129 0.00224 	+0.00001 -0.00005 	 
0.550 	0.600	0.08453 	0.00286 +0.00000 -0.00108 0.00220 	+0.00001 -0.00004 	 
0.600 	0.650 	0.07165 	0.00290 +0.00000 -0.00236 0.00213 	+0.00001 -0.00006 	 
0.650 	0.700 	0.05104 	0.00313 +0.00026 -0.00263 0.00216 	+0.00001 -0.00007 	 
0.700 	0.750 	0.04572 	0.00292 +0.00040 -0.00176 0.00198 	+0.00001 -0.00005 	 
0.750 	0.800 	0.02919 	0.00272 +0.00084 -0.00306 0.00181 	+0.00001 -0.00004 	 
0.800 	0.850 	0.02337 	0.00248 +0.00000 -0.00090 0.00177 	+0.00001 -0.00003 	 
0.850 	0.900	0.01924 	0.00164 +0.00160 -0.00369 0.00122 	+0.00001 -0.00002 	 

K- 	Target: Proton Q2 = 	2.5 GeV2  
1 41
0.150 	0.200	0.36328 	0.00706 +0.00000 -0.05927 0.00353 	+0.00030 -0.00000 
0.200 	0.250	0.20847 	0.00409 +0.00161 -0.03370 0.00232 	+0.00026 -0.00000 
0.250 	0.300	0.13626 	0.00281 +0.00217 -0.01765 0.00178 	+0.00018 -0.00000 
0.300 	0.350	0.09992 	0.00224 +0.00203 -0.00992 0.00154 	+0.00018 -0.00000 
0.350 	0.400	0.07036 	0.00190 +0.00113 -0.00508 0.00130 	+0.00014 -0.00000 
0.400 	0.450	0.05413 	0.00166 +0.00043 -0.00192 0.00113 	+0.00011 -0.00000 
0.450 	0.500	0.03746 	0.00153 +0.00000 -0.00093 0.00098 	+0.00008 -0.00001 
0.500 	0.550	0.03309 	0.00153 +0.00000 -0.00037 0.00099 	+0.00011 -0.00003 
0.550 	0.600	0.02433 	0.00148 +0.00000 -0.00068 0.00087 	+0.00010 -0.00004 
0.600 	0.650	0.01443 	0.00154 +0.00094 -0.00196 0.00081 	+0.00010 -0.00004 
0.650 	0.700	0.00960 	0.00162 +0.00118 -0.00219 0.00069 	+0.00009 -0.00004 
0.700 	0.750	0.00583 	0.00156 +0.00198 -0.00309 0.00061 	+0.00006 -0.00003 
0.750 	0.800	0.00090 	0.00146 +0.00151 -0.00267 0.00056 	+0.00001 -0.00001 
0.800 	0.850	0.00066 	0.00118 +0.00185 -0.00260 0.00055 	+0.00001 -0.00001 
0.850 	0.900	-0.00313 	0.00062 +0.00178 -0.00265 0.00038 	+0.00005 -0.00002 

K-	Target: Deuterium Q2 = 	2.5 GeV2 	 
3 41
0.150 	0.200  0.39816 		0.00678 +0.00000 -0.06396 0.00380 	+0.00128 -0.00000 
0.200 	0.250  0.20581 		0.00385 +0.00132 -0.03504 0.00233 	+0.00066 -0.00000 
0.250 	0.300  0.15020 		0.00275 +0.00255 -0.01891 0.00193 	+0.00048 -0.00000 
0.300 	0.350  0.10552 		0.00215 +0.00201 -0.01089 0.00160 	+0.00029 -0.00000 
0.350 	0.400  0.07752 		0.00184 +0.00127 -0.00556 0.00140 	+0.00020 -0.00000 
0.400 	0.450  0.05885 		0.00167 +0.00055 -0.00200 0.00125 	+0.00014 -0.00000 
0.450 	0.500  0.04203 		0.00153 +0.00000 -0.00089 0.00107 	+0.00012 -0.00001 
0.500 	0.550  0.03408 		0.00153 +0.00000 -0.00060 0.00103 	+0.00013 -0.00004 
0.550 	0.600  0.02722 		0.00145 +0.00000 -0.00064 0.00094 	+0.00015 -0.00006 
0.600 	0.650  0.01889 		0.00153 +0.00084 -0.00237 0.00084 	+0.00015 -0.00007 
0.650 	0.700  0.00922 		0.00150 +0.00151 -0.00284 0.00070 	+0.00010 -0.00005 
0.700 	0.750  0.00698 		0.00159 +0.00169 -0.00264 0.00068 	+0.00009 -0.00004 
0.750 	0.800  -0.00014		0.00156 +0.00255 -0.00407 0.00069 	+0.00000 -0.00000 
0.800 	0.850  0.00292 		0.00129 +0.00084 -0.00147 0.00072 	+0.00005 -0.00002 
0.850 	0.900  -0.00411		0.00072 +0.00261 -0.00382 0.00049 	+0.00008 -0.00004 
