ACKERSTAFF 98 EPJ C7,369 
Fragmentation function for "c-quark" events E+ E- --> CHARGED X 
SQRT(S) IN GEV 91.2 
x = X(DEF=2*P(P=3)/SQRT(S)) 
y = (1/SIG(C=HADRON))*D(SIG(C=C-EVENTS))/DX 
x1 TO x2 y +- dstat +- dsys 

1 22
0.00 0.01 413. 19. 18. 
0.01 0.02 381. 17. 11. 
0.02 0.03 287. 13. 8. 
0.03 0.04 178. 11. 6. 
0.04 0.05 159. 10. 5. 
0.05 0.06 116. 8. 4. 
0.06 0.07 79. 7. 3. 
0.07 0.08 61. 6. 2. 
0.08 0.09 59. 6. 2. 
0.09 0.10 53. 5. 2. 
0.10 0.12 41.9 3.2 1.5 
0.12 0.14 27.6 2.6 1.2 
0.14 0.16 23.8 2.4 1.0 
0.16 0.18 17.6 2.0 0.8 
0.18 0.20 16.5 1.9 0.7 
0.20 0.25 9.8 0.9 0.5 
0.25 0.30 5.5 0.7 0.3 
0.30 0.40 2.49 0.31 0.19 
0.40 0.50 0.95 0.19 0.26 
0.50 0.60 0.36 0.11 0.10 
0.60 0.80 0.014 0.041 0.015 
0.80 1.00 0.003 0.046 0.012 
