ACKERSTAFF 98 EPJ C7,369 
The inclusive fragmentation function 
E+ E- --> CHARGED X 
SQRT(S) IN GEV 91.2 
x = X(DEF=2*P(P=3)/SQRT(S)) 
y = (1/SIG(Q=HADRON))*D(SIG)/DX 
x1 TO x2 y +- dstat +- dsys 

1 22 
0.00 0.01 401.2 0.3 7.4 
0.01 0.02 401.6 0.2 4.9 
0.02 0.03 262.8 0.2 3.9 
0.03 0.04 185.5 0.2 2.9 
0.04 0.05 137.5 0.1 2.1 
0.05 0.06 106.2 0.1 1.6 
0.06 0.07 84.5 0.1 1.2 
0.07 0.08 68.3 0.1 0.9 
0.08 0.09 57.9 0.1 0.7 
0.09 0.10 47.9 0.1 0.6 
0.10 0.12 38.19 0.05 0.42 
0.12 0.14 28.30 0.04 0.28 
0.14 0.16 21.88 0.03 0.19 
0.16 0.18 17.10 0.03 0.16 
0.18 0.20 13.54 0.03 0.14 
0.20 0.25 9.37 0.01 0.11 
0.25 0.30 5.66 0.01 0.08 
0.30 0.40 2.89 0.01 0.05 
0.40 0.50 1.208 0.004 0.036 
0.50 0.60 0.506 0.002 0.018 
0.60 0.80 0.153 0.001 0.012 
0.80 1.00 0.0199 0.0003 0.0044 
