    REACtion   = E+ E- --> CHARGED X
    sqrt(s)    = 91.2 GeV
    Author     = Akers et al
    REFerence  = 1995   Zeit. Phys. C68, 203
   

 Longitudinal component of the fragmentation function.

    xp      xp          (1/sig(h))*             errors
    min     max    dsig(c=longitudinal)/dxp   stat    sys


1 22
    0.00    0.01            89.7              0.4    15.3
    0.01    0.02            79.2              0.4     5.6
    0.02    0.03            40.1              0.3     2.9
    0.03    0.04            21.9              0.2     1.3
    0.04    0.05            13.1              0.2     0.9
    0.05    0.06             8.39             0.17    0.72
    0.06    0.07             5.79             0.15    1.03
    0.07    0.08             4.08             0.14    0.47
    0.08    0.09             2.70             0.13    0.35
    0.09    0.10             2.16             0.12    0.27
    0.10    0.12             1.60             0.07    0.23
    0.12    0.14             0.93             0.06    0.36
    0.14    0.16             0.61             0.06    0.16
    0.16    0.18             0.53             0.05    0.17
    0.18    0.20             0.35             0.04    0.08
    0.20    0.25             0.21             0.02    0.08
    0.25    0.30             0.067            0.018   0.050
    0.30    0.40             0.036            0.009   0.033
    0.40    0.50             0.012            0.006   0.010
    0.50    0.60            -0.003            0.004   0.007
    0.60    0.80            -0.0047           0.014   0.0046
    0.80    1.00            -0.0018           0.003   0.0024
                                                                                  

