    REACtion   = E+ E- --> CHARGED X
    sqrt(s)    = 91.2 GeV
    Author     = Akers et al
    REFerence  = 1995   Zeit. Phys. C68, 203
   
    Transverse component of the fragmentation function.

    xp      xp          (1/sig(h))*             errors
    min     max    dsig(c=transverse)/dxp     stat    sys


1 22
    0.00    0.01           270.4              0.5    24.3
    0.01    0.02           333.6              0.5    10.8
    0.02    0.03           235.5              0.4     5.9
    0.03    0.04           169.5              0.3     2.9
    0.04    0.05           127.2              0.3     1.9
    0.05    0.06            99.0              0.2     1.4
    0.06    0.07            79.1              0.2     1.8
    0.07    0.08            64.88             0.19    0.89
    0.08    0.09            54.49             0.17    0.71
    0.09    0.10            45.78             0.16    0.56
    0.10    0.12            36.19             0.10    0.45
    0.12    0.14            27.33             0.09    0.61
    0.14    0.16            21.03             0.08    0.29
    0.16    0.18            16.34             0.07    0.29
    0.18    0.20            12.99             0.06    0.15
    0.20    0.25             9.03             0.03    0.14
    0.25    0.30             5.50             0.02    0.08
    0.30    0.40             2.795            0.012   0.053
    0.40    0.50             1.171            0.008   0.014
    0.50    0.60             0.500            0.005   0.010
    0.60    0.80             0.150            0.002   0.007
    0.80    1.00             0.016            0.001   0.004




