ABE 98   PR D59,052001
 Charged kaon fraction and differential cross section per hadron Z0 decay
 RE(Q=CHDG-HAD)   E+ E- --> CHGD-HADRON X
 RE(Q=K+-)   E+ E- --> (K+ + K-) X
 SQRT(S) IN GEV   91.2
 x = X(DEF=2*P(P=3)/SQRT(S))
 y = (1/N(C=HAD))*D(N)/DX
 x1  TO x2     y    +- dstat  +- dsys 

1 42
0.016  0.022  22.28   0.47   0.53
0.022  0.027  21.22   0.45   0.62
0.027  0.033  19.10   0.43   0.64
0.033  0.038  18.02   0.43   0.80
0.038  0.044  16.45   0.45   0.94
0.044  0.049  16.13   0.49   1.03
0.049  0.055  13.98   0.53   1.14
0.055  0.060  11.96   0.54   2.11
0.060  0.066  11.03   0.49   1.27
0.066  0.071  11.37   0.46   0.87
0.071  0.077   9.38   0.44   0.79
0.077  0.082   9.51   0.44   0.76
0.082  0.088   8.68   0.44   0.72
0.088  0.099   7.96   0.31   0.68
0.099  0.110   7.37   0.34   0.63
0.110  0.121   6.74   0.37   0.60
0.121  0.143   5.24   0.29   0.61
0.143  0.164   4.08   0.40   0.80
0.208  0.230   2.34   0.08   0.30
0.230  0.252   1.947  0.065  0.057
0.252  0.274   1.603  0.057  0.042
0.274  0.296   1.281  0.050  0.034
0.296  0.318   1.127  0.045  0.030
0.318  0.351   0.933  0.034  0.027
0.351  0.384   0.669  0.029  0.023
0.384  0.417   0.541  0.026  0.023
0.417  0.450   0.493  0.026  0.023
0.450  0.482   0.357  0.023  0.020
0.482  0.526   0.273  0.019  0.018
0.526  0.570   0.180  0.016  0.014
0.570  0.658   0.122  0.011  0.011
0.658  0.768   0.048  0.009  0.006
