 ABE 98   PR D59,052001
 Charged pion fraction and differential cross section per hadron Z0 decay
 RE(Q=CHGD-HAD)   E+ E- --> CHGD-HADRON X
 RE(Q=PI+-)   E+ E- --> (PI+ + PI-) X
 SQRT(S) IN GEV   91.2
 x = X(DEF=2*P(P=3)/SQRT(S))
 y = (1/N(C=HAD))*D(N)/DX
 x1  TO x2     y     +- dstat  +- dsys 

1 32
0.008  0.010  482.3    2.3    7.2
0.010  0.012  439.0    2.3    3.7
0.012  0.014  400.5    2.0    3.3
0.014  0.016  356.1    1.9    3.0
0.016  0.022  292.8    1.0    2.4
0.022  0.027  228.5    1.0    1.9
0.027  0.033  176.6    0.9    1.4
0.033  0.038  144.4    0.8    1.2
0.038  0.044  121.7    0.8    1.6
0.044  0.049  102.5    0.9    1.9
0.049  0.055   89.2    0.9    2.2
0.055  0.060   75.3    0.8    2.8
0.060  0.066   66.0    0.7    1.4
0.066  0.071   57.81   0.60   0.81
0.071  0.077   51.63   0.56   0.60
0.077  0.082   45.95   0.52   0.54
0.082  0.088   41.35   0.49   0.49
0.088  0.099   35.24   0.32   0.42
0.099  0.110   28.12   0.29   0.35
0.110  0.121   23.57   0.27   0.30
0.121  0.143   18.32   0.17   0.24
0.143  0.164   13.22   0.14   0.19
0.164  0.186    9.84   0.11   0.15
0.186  0.208    7.47   0.09   0.11
0.208  0.230    5.711  0.083  0.080
0.230  0.252    4.414  0.074  0.063
0.252  0.274    3.612  0.068  0.072
0.274  0.296    2.886  0.061  0.060
0.296  0.318    2.206  0.054  0.049
0.318  0.351    1.739  0.040  0.044
0.351  0.384    1.350  0.036  0.040
0.384  0.417    0.874  0.031  0.032
0.417  0.450    0.670  0.029  0.029
0.450  0.482    0.520  0.026  0.025
0.482  0.526    0.355  0.021  0.020
0.526  0.570    0.248  0.018  0.016
0.570  0.658    0.146  0.012  0.012
0.658  0.768    0.071  0.009  0.007

