ABE 98 PR D59,052001 
The inclusive charged particle differential cross section 
E+ E- --> CHARGED X 
SQRT(S) IN GEV 91.2 
x = X(DEF=2*P(P=3)/SQRT(S)) 
y = (1/N(Q=HAD))*D(N)/DX 
x1 TO x2 y +- dstat +- dsys 


1 22
0.008 0.010 509.6 1.6 8.9 
0.010 0.012 481.9 1.6 8.4 
0.012 0.014 440.9 1.5 7.7 
0.014 0.016 398.0 1.4 6.9 
0.016 0.022 334.6 0.9 5.8 
0.022 0.027 265.2 0.8 4.6 
0.027 0.033 215.2 0.7 3.7 
0.033 0.038 178.6 0.6 3.1 
0.038 0.044 150.0 0.6 2.6 
0.044 0.049 129.2 0.5 2.2 
0.049 0.055 111.7 0.5 1.9 
0.055 0.060 97.2 0.5 1.7 
0.060 0.066 86.3 0.4 1.5 
0.066 0.071 77.2 0.4 1.3 
0.071 0.077 68.7 0.4 1.2 
0.077 0.082 61.6 0.4 1.0 
0.082 0.088 56.35 0.35 0.96 
0.088 0.099 48.53 0.23 0.83 
0.099 0.110 40.40 0.21 0.69 
0.110 0.121 34.32 0.20 0.59 
0.121 0.143 27.12 0.12 0.47 
0.143 0.164 20.35 0.11 0.35 
0.164 0.186 15.65 0.09 0.28 
0.186 0.208 12.05 0.08 0.22 
0.208 0.230 9.50 0.07 0.17 
0.230 0.252 7.54 0.07 0.14 
0.252 0.274 6.11 0.06 0.12 
0.274 0.296 4.969 0.053 0.098 
0.296 0.318 3.978 0.048 0.081 
0.318 0.351 3.163 0.035 0.067 
0.351 0.384 2.367 0.030 0.052 
0.384 0.417 1.767 0.026 0.041 
0.417 0.450 1.359 0.023 0.033 
0.450 0.482 1.028 0.019 0.026 
0.482 0.526 0.735 0.014 0.020 
0.526 0.570 0.503 0.012 0.015 
0.570 0.658 0.300 0.006 0.009 
0.658 0.768 0.123 0.003 0.004 
0.768 0.987 0.027 0.001 0.001 
error 1000 return 
