SMC data  Phys. Lett. B420 (1998) 180
x	A1ph+
1 20
0.005 10.0	0.053  0.034  0.005  	 
0.008 10.0	0.070  0.034  0.007  	 
0.014 10.0	0.107  0.030  0.011  	 
0.025 10.0	0.049  0.041  0.005  	 
0.035 10.0	0.125  0.050  0.011  	 
0.049 10.0	0.124  0.042  0.010  	 
0.077 10.0	0.195  0.041  0.016  	 
0.122 10.0	0.386  0.055  0.027  	 
0.173 10.0	0.306  0.078  0.020  	 
0.242 10.0	0.454  0.083  0.030  	 
0.342 10.0	0.567  0.144  0.035  	 
0.480 10.0     -0.106  0.245  0.011 

x     A1ph-
1 21
0.005 10.0	 0.050  0.038  0.005 
0.008 10.0      -0.064  0.038  0.006 
0.014 10.0 	 0.036  0.034  0.004 
0.025 10.0 	 0.089  0.048  0.009 
0.035 10.0 	 0.121  0.059  0.011 
0.049 10.0 	 0.042  0.052  0.005 
0.077 10.0 	 0.109  0.054  0.009 
0.122 10.0 	 0.244  0.075  0.018 
0.173 10.0 	 0.361  0.112  0.027 
0.242 10.0 	 0.405  0.126  0.032 
0.342 10.0 	 0.256  0.238  0.021 
0.480 10.0 	 0.438  0.433  0.040 

x     A1dh+
3 20
0.005 10.0     -0.030  0.039  0.005 
0.008 10.0     -0.039  0.038  0.006 
0.014 10.0   	0.013  0.033  0.004 
0.025 10.0     -0.033  0.044  0.006 
0.035 10.0     -0.016  0.053  0.004 
0.049 10.0   	0.019  0.046  0.005 
0.077 10.0   	0.119  0.046  0.010 
0.122 10.0   	0.155  0.063  0.012 
0.173 10.0   	0.149  0.093  0.013 
0.242 10.0   	0.345  0.104  0.023 
0.342 10.0   	0.269  0.190  0.017 
0.480 10.0   	0.578  0.320  0.032 

x     A1dh-
3 21
0.005 10.0	0.032  0.042  0.005
0.008 10.0   	0.013  0.042  0.005
0.014 10.0     -0.041  0.036  0.007
0.025 10.0     -0.046  0.049  0.006
0.035 10.0   	0.020  0.060  0.005
0.049 10.0   	0.142  0.053  0.012
0.077 10.0   	0.076  0.055  0.008
0.122 10.0   	0.045  0.077  0.007
0.173 10.0   	0.138  0.116  0.014
0.242 10.0   	0.183  0.133  0.016
0.342 10.0     -0.046  0.248  0.009
0.480 10.0   	1.176  0.451  0.063
