SMC_PhysRevD58_1998

  
Detailed measurements of A1p at different x and Q^2 values

     x        Q^2       A1p   Error
    mean      GeV^2           stat

1 00   
0.0009     0.25     0.001  0.069   
0.0011     0.30     0.016  0.085   
0.0011     0.34     0.196  0.111   
0.0014     0.38     0.139  0.044   
0.0017     0.46     0.076  0.053   
0.0019     0.55     0.037  0.057   
0.0023     0.58     0.020  0.040   
0.0025     0.70     0.025  0.044   
0.0028     0.82     0.027  0.048   
0.0035     0.88     0.038  0.029   
0.0043     1.14    -0.011  0.025  
0.0051     1.43     0.060  0.030   
0.0056     1.71     0.008  0.051   
0.0069     1.43    -0.003  0.043  
0.0072     1.76     0.016  0.033   
0.0077     2.04     0.063  0.032   
0.0084     2.34     0.105  0.037   
0.0090     2.63     0.099  0.048   
0.0095     2.94    -0.041  0.072  
0.0114     1.75    -0.075  0.110  
0.0120     2.07     0.065  0.072   
0.0124     2.36     0.032  0.054   
0.0125     2.66     0.017  0.045   
0.0127     2.96    -0.014  0.039  
0.0133     3.30     0.008  0.033   
0.0147     3.74     0.046  0.032   
0.0165     4.43     0.112  0.029   
0.0184     5.44    -0.029  0.047  
0.0231     2.78     0.142  0.111   
0.0236     3.31     0.227  0.107   
0.0235     3.77    -0.030  0.077  
0.0237     4.54     0.083  0.041   
0.0241     5.75     0.068  0.030   
0.0263     7.42     0.024  0.034   
0.0339     4.23     0.058  0.073   
0.0342     5.80     0.134  0.050   
0.0344     7.77     0.032  0.035   
0.0359    10.14     0.082  0.041   
0.0472     4.29     0.054  0.108   
0.0473     5.86     0.084  0.068   
0.0479     7.83     0.103  0.040   
0.0485    10.95     0.120  0.029   
0.0527    14.72     0.133  0.042   
0.0736     5.47     0.145  0.101   
0.0744     7.88     0.153  0.059   
0.0750    11.08     0.196  0.037   
0.0762    16.30     0.170  0.029   
0.0855    23.05     0.189  0.045   
0.1189     7.41     0.368  0.104   
0.1196    11.14     0.335  0.068   
0.1200    16.48     0.245  0.048   
0.1206    24.82     0.248  0.043   
0.1293    34.32     0.264  0.060   
0.1711    10.19     0.203  0.102   
0.1715    16.51     0.293  0.080   
0.1717    24.89     0.214  0.068   
0.1718    34.94     0.459  0.073   
0.1771    45.48     0.361  0.081   
0.2368    10.54     0.363  0.132   
0.2389    16.54     0.146  0.096   
0.2394    24.95     0.424  0.081   
0.2398    34.94     0.426  0.084   
0.2462    52.74     0.471  0.057   
0.3388    15.26     0.514  0.158   
0.3404    25.01     0.535  0.149   
0.3407    34.96     0.715  0.153   
0.3436    61.81     0.555  0.078   
0.4688    21.86     0.972  0.179   
0.4751    34.98     0.433  0.230   
0.4842    72.07     0.616  0.096  

Detailed measurements of A1d at different x and Q^2 values

x      Q^2     A1d    Error
mean   GeV^2           stat

3 00
0.0009  0.25   -0.067   0.040  
0.0010  0.30    0.052   0.046   
0.0011  0.34    0.046   0.052   
0.0014  0.38   -0.028   0.032  
0.0016  0.46   -0.069   0.037  
0.0018  0.55    0.052   0.037   
0.0022  0.59    0.076   0.035   
0.0025  0.70   -0.043   0.035  
0.0027  0.82   -0.049   0.035  
0.0038  0.65    0.020   0.073   
0.0035  0.90    0.034   0.029   
0.0042  1.14   -0.015   0.023  
0.0050  1.44   -0.024   0.028  
0.0056  1.71   -0.025   0.045  
0.0074  1.09   -0.074   0.066  
0.0071  1.47    0.026   0.052   
0.0071  1.77   -0.043   0.034  
0.0075  2.04   -0.053   0.031  
0.0083  2.34    0.035   0.037   
0.0090  2.64   -0.005   0.047  
0.0095  2.94   -0.010   0.069   
0.0128  1.59   -0.018   0.064  
0.0131  2.06    0.016   0.074   
0.0128  2.36   -0.019   0.061  
0.0125  2.66   -0.024   0.050  
0.0125  2.96   -0.033   0.043  
0.0130  3.30   -0.082   0.035  
0.0144  3.74   -0.008   0.035  
0.0163  4.44   -0.003   0.031  
0.0184  5.44   -0.023   0.050  
0.0237  2.13   -0.067   0.110  
0.0239  2.82    0.071   0.091   
0.0242  3.30   -0.063   0.102  
0.0239  3.76   -0.004   0.084  
0.0237  4.54   -0.079   0.045  
0.0241  5.75    0.008   0.032   
0.0263  7.41    0.013   0.037   
0.0341  2.59   -0.042   0.138  
0.0342  3.57   -0.042   0.108  
0.0342  4.54   -0.129   0.089  
0.0342  5.80   -0.036   0.056  
0.0344  7.78    0.033   0.038   
0.0359  10.13  -0.023   0.045  
0.0476  2.63    0.257   0.187   
0.0476  3.59    0.322   0.140   
0.0479  4.52    0.034   0.108   
0.0477  5.83    0.047   0.069   
0.0480  7.82    0.101   0.044   
0.0484  10.95   0.093   0.032   
0.0527  14.72  -0.006   0.047  
0.0744  3.95   -0.019   0.120  
0.0743  5.82    0.034   0.108   
0.0746  7.85    0.026   0.062   
0.0753  11.05   0.090   0.041   
0.0760  16.30  -0.025   0.033  
0.0855  23.07  -0.004   0.051  
0.1187  5.00   -0.062   0.162  
0.1194  10.23   0.056   0.063   
0.1201  16.43   0.069   0.054   
0.1203  24.82   0.076   0.050   
0.1289  34.25   0.093   0.069   
0.1709  9.72    0.231   0.106   
0.1714  16.47   0.062   0.091   
0.1716  24.84   0.249   0.081   
0.1739  39.62   0.171   0.065   
0.2368  10.06   0.264   0.140   
0.2386  16.52   0.205   0.111   
0.2393  24.86   0.093   0.096   
0.2391  34.93   0.265   0.105   
0.2454  52.73   0.294   0.072   
0.3388  14.77   0.194   0.178   
0.3404  29.55   0.084   0.132   
0.3431  61.80   0.244   0.102   
0.4706  21.18   0.185   0.208   
0.4763  34.87   0.558   0.289   
0.4827  71.76   0.317   0.129  
