*---------SMC collaboration PhysRevD58

*---------------Proton Target-----------------------


 x        x       x       Q^2    A1p     Errors       
    min      max     mean    GeV^2         stat    sys
1 00
0.003    0.006    0.005    1.3   0.017  0.018  0.003    
0.006    0.010    0.008    2.1   0.047  0.016  0.004    
0.010    0.020    0.014    3.6   0.035  0.014  0.003    
0.020    0.030    0.025    5.7   0.058  0.018  0.005
0.030    0.040    0.035    7.8   0.067  0.022  0.005
0.040    0.060    0.049   10.4   0.115  0.019  0.008
0.060    0.100    0.077   14.9   0.176  0.019  0.013
0.100    0.150    0.122   21.3   0.267  0.025  0.018
0.150    0.200    0.173   27.8   0.318  0.035  0.021
0.200    0.300    0.242   35.6   0.400  0.036  0.028
0.300    0.400    0.342   45.9   0.568  0.058  0.042
0.400    0.700    0.480   58.0   0.658  0.079  0.055


*--------------Deuteron Target------------------------


 x       x       x     Q^2    A1d      Errors       
 min     max     mean  GeV^2          stat    sys     
3 00     
0.0008  0.0012  0.001   0.3   0.001   0.026  0.002 
0.0012  0.002   0.002   0.5  -0.016   0.020  0.003 
0.002   0.003   0.002   0.7  -0.005   0.020  0.002 
0.003   0.006   0.005   1.3  -0.018   0.016  0.002
0.006   0.010   0.008   2.1  -0.020   0.016  0.003
0.010   0.020   0.014   3.5  -0.027   0.015  0.003
0.020   0.030   0.025   5.5  -0.009   0.020  0.003
0.030   0.040   0.035   7.5  -0.013   0.024  0.003
0.040   0.060   0.049  10.0   0.075   0.021  0.006
0.060   0.100   0.077  14.4   0.017   0.021  0.003
0.100   0.150   0.121  20.6   0.069   0.028  0.006
0.150   0.200   0.172  26.8   0.178   0.041  0.013
0.200   0.300   0.241  34.3   0.238   0.044  0.015
0.300   0.400   0.342  43.9   0.190   0.073  0.014
0.400   0.700   0.479  54.8   0.316   0.102  0.022
