 EXPeriment = DESY-PETRA-TASSO                                               
   sqrt(s)    = 44 GeV
   Author     = Braunschweig et al 
   REFerence  = 1990 Zeit. Phys. C47, 187
   
   These data supercede previous TASSO data in 1984 Zeit. Phys. C22, 307. 
   Data have combined statistical and systematic errors. 


      xp     xp           1/sig(h) dsig/dxp
      min    max                             error


1 22
      0.02   0.03             169.3           2.4        
      0.02   0.03             191.8           3.9      
      0.03   0.04             152.7           3.0       
      0.04   0.05             118.5           2.9        
      0.05   0.06              95.0           2.7        
      0.06   0.08              70.5           1.3       
      0.08   0.10              49.0           1.7        
      0.10   0.12              37.17          0.89       
      0.12   0.14              28.67          0.84       
      0.14   0.16              22.66          0.61     
      0.16   0.18              17.79          0.76       
      0.18   0.20              13.45          0.47         
      0.20   0.25              10.06          0.32        
      0.25   0.30               6.18          0.23        
      0.30   0.35               4.08          0.18        
      0.35   0.40               2.66          0.14        
      0.40   0.50               1.517         0.072       
      0.50   0.60               0.631         0.052       
      0.60   0.70               0.331         0.031      
      0.70   0.80               0.129         0.017      
      0.80   1.00               0.0309        0.0059     
      0.00   1.00               0.0839        0.0009    

