EXPeriment = SLAC-PEP-004 (TPC)                                               
   sqrt(s)    = 29 GeV
   Author     = Aihara et al 
   REFerence  = 1988 Phys. Rev. Lett. 61, 1263
   

   
   xp      xp   1/sig(h) dsig/dxp            xE    1/sig(h)beta dsig/dxE
   min     max                   error                                error
   
1 42
   0.025   0.030    5.56         0.49       0.044       14.1          1.2         
   0.030   0.035    7.21         0.56       0.047       15.2          1.2         
   0.035   0.040    7.60         0.59       0.051       13.9          1.1         
   0.040   0.045    9.3          1.2        0.054       15.2          2.0         
   0.045   0.050    8.55         0.96       0.058       13.0          1.5         
   0.050   0.055    8.73         0.65       0.063       12.4          0.9         
   0.055   0.060    8.48         0.74       0.067       11.5          1.0         
   0.060   0.065    9.2          1.3        0.071       11.9          1.7         
   0.065   0.070    8.8          2.3        0.076       11.1          2.8         
   0.090   0.100    5.6          1.5        0.101        6.3          1.7         
   0.100   0.110    6.32         0.92       0.110        7.0          1.0         
   0.110   0.120    5.13         0.61       0.120        5.58         0.67       
   0.120   0.130    5.13         0.49       0.130        5.51         0.52       
   0.130   0.140    5.00         0.38       0.139        5.32         0.41       
   0.250   0.300    1.73         0.11       0.277        1.76         0.11       
   0.300   0.350    1.161        0.073      0.327        1.174        0.074     
   0.350   0.400    0.842        0.055      0.377        0.849        0.055     
   0.400   0.500    0.470        0.030      0.451        0.472        0.030     
   0.500   0.600    0.249        0.020      0.551        0.250        0.020     
   0.600   0.700    0.090        0.012      0.651        0.091        0.012     
   0.700   0.900    0.0225       0.0048     0.801        0.0225       0.0048   

