EXPeriment = SLAC-PEP-004 (TPC)                                               
sqrt(s)    = 29 GeV
Author     = Aihara et al 
REFerence  = 1984 Phys. Rev. Lett. 52, 577



 xE     1/sig(h)beta  dsig/dxE        
                              error

1 32
0.018            176.0           11.0     
0.021            192.0           14.0     
0.026            181.0           13.0     
0.032            147.0            7.0     
0.039            122.0            5.0     
0.047             97.4            4.2     
0.055             84.1            4.0     
0.060             73.1            3.5     
0.066             65.5            3.2      
0.103             31.7            1.7      
0.146             16.8            1.0      
0.170             12.4            0.7      
0.218              7.14           0.41     
0.288              3.40           0.21     
0.378              1.36           0.09       

